DateKey,Date,Month,Month_No,Quarter,Year
20220101,2022-01-01,January,1,1,2022
20220102,2022-01-02,January,1,1,2022
20220103,2022-01-03,January,1,1,2022
20220104,2022-01-04,January,1,1,2022
20220105,2022-01-05,January,1,1,2022
20220106,2022-01-06,January,1,1,2022
20220107,2022-01-07,January,1,1,2022
20220108,2022-01-08,January,1,1,2022
20220109,2022-01-09,January,1,1,2022
20220110,2022-01-10,January,1,1,2022
20220111,2022-01-11,January,1,1,2022
20220112,2022-01-12,January,1,1,2022
20220113,2022-01-13,January,1,1,2022
20220114,2022-01-14,January,1,1,2022
20220115,2022-01-15,January,1,1,2022
20220116,2022-01-16,January,1,1,2022
20220117,2022-01-17,January,1,1,2022
20220118,2022-01-18,January,1,1,2022
20220119,2022-01-19,January,1,1,2022
20220120,2022-01-20,January,1,1,2022
20220121,2022-01-21,January,1,1,2022
20220122,2022-01-22,January,1,1,2022
20220123,2022-01-23,January,1,1,2022
20220124,2022-01-24,January,1,1,2022
20220125,2022-01-25,January,1,1,2022
20220126,2022-01-26,January,1,1,2022
20220127,2022-01-27,January,1,1,2022
20220128,2022-01-28,January,1,1,2022
20220129,2022-01-29,January,1,1,2022
20220130,2022-01-30,January,1,1,2022
20220131,2022-01-31,January,1,1,2022
20220201,2022-02-01,February,2,1,2022
20220202,2022-02-02,February,2,1,2022
20220203,2022-02-03,February,2,1,2022
20220204,2022-02-04,February,2,1,2022
20220205,2022-02-05,February,2,1,2022
20220206,2022-02-06,February,2,1,2022
20220207,2022-02-07,February,2,1,2022
20220208,2022-02-08,February,2,1,2022
20220209,2022-02-09,February,2,1,2022
20220210,2022-02-10,February,2,1,2022
20220211,2022-02-11,February,2,1,2022
20220212,2022-02-12,February,2,1,2022
20220213,2022-02-13,February,2,1,2022
20220214,2022-02-14,February,2,1,2022
20220215,2022-02-15,February,2,1,2022
20220216,2022-02-16,February,2,1,2022
20220217,2022-02-17,February,2,1,2022
20220218,2022-02-18,February,2,1,2022
20220219,2022-02-19,February,2,1,2022
20220220,2022-02-20,February,2,1,2022
20220221,2022-02-21,February,2,1,2022
20220222,2022-02-22,February,2,1,2022
20220223,2022-02-23,February,2,1,2022
20220224,2022-02-24,February,2,1,2022
20220225,2022-02-25,February,2,1,2022
20220226,2022-02-26,February,2,1,2022
20220227,2022-02-27,February,2,1,2022
20220228,2022-02-28,February,2,1,2022
20220301,2022-03-01,March,3,1,2022
20220302,2022-03-02,March,3,1,2022
20220303,2022-03-03,March,3,1,2022
20220304,2022-03-04,March,3,1,2022
20220305,2022-03-05,March,3,1,2022
20220306,2022-03-06,March,3,1,2022
20220307,2022-03-07,March,3,1,2022
20220308,2022-03-08,March,3,1,2022
20220309,2022-03-09,March,3,1,2022
20220310,2022-03-10,March,3,1,2022
20220311,2022-03-11,March,3,1,2022
20220312,2022-03-12,March,3,1,2022
20220313,2022-03-13,March,3,1,2022
20220314,2022-03-14,March,3,1,2022
20220315,2022-03-15,March,3,1,2022
20220316,2022-03-16,March,3,1,2022
20220317,2022-03-17,March,3,1,2022
20220318,2022-03-18,March,3,1,2022
20220319,2022-03-19,March,3,1,2022
20220320,2022-03-20,March,3,1,2022
20220321,2022-03-21,March,3,1,2022
20220322,2022-03-22,March,3,1,2022
20220323,2022-03-23,March,3,1,2022
20220324,2022-03-24,March,3,1,2022
20220325,2022-03-25,March,3,1,2022
20220326,2022-03-26,March,3,1,2022
20220327,2022-03-27,March,3,1,2022
20220328,2022-03-28,March,3,1,2022
20220329,2022-03-29,March,3,1,2022
20220330,2022-03-30,March,3,1,2022
20220331,2022-03-31,March,3,1,2022
20220401,2022-04-01,April,4,2,2022
20220402,2022-04-02,April,4,2,2022
20220403,2022-04-03,April,4,2,2022
20220404,2022-04-04,April,4,2,2022
20220405,2022-04-05,April,4,2,2022
20220406,2022-04-06,April,4,2,2022
20220407,2022-04-07,April,4,2,2022
20220408,2022-04-08,April,4,2,2022
20220409,2022-04-09,April,4,2,2022
20220410,2022-04-10,April,4,2,2022
20220411,2022-04-11,April,4,2,2022
20220412,2022-04-12,April,4,2,2022
20220413,2022-04-13,April,4,2,2022
20220414,2022-04-14,April,4,2,2022
20220415,2022-04-15,April,4,2,2022
20220416,2022-04-16,April,4,2,2022
20220417,2022-04-17,April,4,2,2022
20220418,2022-04-18,April,4,2,2022
20220419,2022-04-19,April,4,2,2022
20220420,2022-04-20,April,4,2,2022
20220421,2022-04-21,April,4,2,2022
20220422,2022-04-22,April,4,2,2022
20220423,2022-04-23,April,4,2,2022
20220424,2022-04-24,April,4,2,2022
20220425,2022-04-25,April,4,2,2022
20220426,2022-04-26,April,4,2,2022
20220427,2022-04-27,April,4,2,2022
20220428,2022-04-28,April,4,2,2022
20220429,2022-04-29,April,4,2,2022
20220430,2022-04-30,April,4,2,2022
20220501,2022-05-01,May,5,2,2022
20220502,2022-05-02,May,5,2,2022
20220503,2022-05-03,May,5,2,2022
20220504,2022-05-04,May,5,2,2022
20220505,2022-05-05,May,5,2,2022
20220506,2022-05-06,May,5,2,2022
20220507,2022-05-07,May,5,2,2022
20220508,2022-05-08,May,5,2,2022
20220509,2022-05-09,May,5,2,2022
20220510,2022-05-10,May,5,2,2022
20220511,2022-05-11,May,5,2,2022
20220512,2022-05-12,May,5,2,2022
20220513,2022-05-13,May,5,2,2022
20220514,2022-05-14,May,5,2,2022
20220515,2022-05-15,May,5,2,2022
20220516,2022-05-16,May,5,2,2022
20220517,2022-05-17,May,5,2,2022
20220518,2022-05-18,May,5,2,2022
20220519,2022-05-19,May,5,2,2022
20220520,2022-05-20,May,5,2,2022
20220521,2022-05-21,May,5,2,2022
20220522,2022-05-22,May,5,2,2022
20220523,2022-05-23,May,5,2,2022
20220524,2022-05-24,May,5,2,2022
20220525,2022-05-25,May,5,2,2022
20220526,2022-05-26,May,5,2,2022
20220527,2022-05-27,May,5,2,2022
20220528,2022-05-28,May,5,2,2022
20220529,2022-05-29,May,5,2,2022
20220530,2022-05-30,May,5,2,2022
20220531,2022-05-31,May,5,2,2022
20220601,2022-06-01,June,6,2,2022
20220602,2022-06-02,June,6,2,2022
20220603,2022-06-03,June,6,2,2022
20220604,2022-06-04,June,6,2,2022
20220605,2022-06-05,June,6,2,2022
20220606,2022-06-06,June,6,2,2022
20220607,2022-06-07,June,6,2,2022
20220608,2022-06-08,June,6,2,2022
20220609,2022-06-09,June,6,2,2022
20220610,2022-06-10,June,6,2,2022
20220611,2022-06-11,June,6,2,2022
20220612,2022-06-12,June,6,2,2022
20220613,2022-06-13,June,6,2,2022
20220614,2022-06-14,June,6,2,2022
20220615,2022-06-15,June,6,2,2022
20220616,2022-06-16,June,6,2,2022
20220617,2022-06-17,June,6,2,2022
20220618,2022-06-18,June,6,2,2022
20220619,2022-06-19,June,6,2,2022
20220620,2022-06-20,June,6,2,2022
20220621,2022-06-21,June,6,2,2022
20220622,2022-06-22,June,6,2,2022
20220623,2022-06-23,June,6,2,2022
20220624,2022-06-24,June,6,2,2022
20220625,2022-06-25,June,6,2,2022
20220626,2022-06-26,June,6,2,2022
20220627,2022-06-27,June,6,2,2022
20220628,2022-06-28,June,6,2,2022
20220629,2022-06-29,June,6,2,2022
20220630,2022-06-30,June,6,2,2022
20220701,2022-07-01,July,7,3,2022
20220702,2022-07-02,July,7,3,2022
20220703,2022-07-03,July,7,3,2022
20220704,2022-07-04,July,7,3,2022
20220705,2022-07-05,July,7,3,2022
20220706,2022-07-06,July,7,3,2022
20220707,2022-07-07,July,7,3,2022
20220708,2022-07-08,July,7,3,2022
20220709,2022-07-09,July,7,3,2022
20220710,2022-07-10,July,7,3,2022
20220711,2022-07-11,July,7,3,2022
20220712,2022-07-12,July,7,3,2022
20220713,2022-07-13,July,7,3,2022
20220714,2022-07-14,July,7,3,2022
20220715,2022-07-15,July,7,3,2022
20220716,2022-07-16,July,7,3,2022
20220717,2022-07-17,July,7,3,2022
20220718,2022-07-18,July,7,3,2022
20220719,2022-07-19,July,7,3,2022
20220720,2022-07-20,July,7,3,2022
20220721,2022-07-21,July,7,3,2022
20220722,2022-07-22,July,7,3,2022
20220723,2022-07-23,July,7,3,2022
20220724,2022-07-24,July,7,3,2022
20220725,2022-07-25,July,7,3,2022
20220726,2022-07-26,July,7,3,2022
20220727,2022-07-27,July,7,3,2022
20220728,2022-07-28,July,7,3,2022
20220729,2022-07-29,July,7,3,2022
20220730,2022-07-30,July,7,3,2022
20220731,2022-07-31,July,7,3,2022
20220801,2022-08-01,August,8,3,2022
20220802,2022-08-02,August,8,3,2022
20220803,2022-08-03,August,8,3,2022
20220804,2022-08-04,August,8,3,2022
20220805,2022-08-05,August,8,3,2022
20220806,2022-08-06,August,8,3,2022
20220807,2022-08-07,August,8,3,2022
20220808,2022-08-08,August,8,3,2022
20220809,2022-08-09,August,8,3,2022
20220810,2022-08-10,August,8,3,2022
20220811,2022-08-11,August,8,3,2022
20220812,2022-08-12,August,8,3,2022
20220813,2022-08-13,August,8,3,2022
20220814,2022-08-14,August,8,3,2022
20220815,2022-08-15,August,8,3,2022
20220816,2022-08-16,August,8,3,2022
20220817,2022-08-17,August,8,3,2022
20220818,2022-08-18,August,8,3,2022
20220819,2022-08-19,August,8,3,2022
20220820,2022-08-20,August,8,3,2022
20220821,2022-08-21,August,8,3,2022
20220822,2022-08-22,August,8,3,2022
20220823,2022-08-23,August,8,3,2022
20220824,2022-08-24,August,8,3,2022
20220825,2022-08-25,August,8,3,2022
20220826,2022-08-26,August,8,3,2022
20220827,2022-08-27,August,8,3,2022
20220828,2022-08-28,August,8,3,2022
20220829,2022-08-29,August,8,3,2022
20220830,2022-08-30,August,8,3,2022
20220831,2022-08-31,August,8,3,2022
20220901,2022-09-01,September,9,3,2022
20220902,2022-09-02,September,9,3,2022
20220903,2022-09-03,September,9,3,2022
20220904,2022-09-04,September,9,3,2022
20220905,2022-09-05,September,9,3,2022
20220906,2022-09-06,September,9,3,2022
20220907,2022-09-07,September,9,3,2022
20220908,2022-09-08,September,9,3,2022
20220909,2022-09-09,September,9,3,2022
20220910,2022-09-10,September,9,3,2022
20220911,2022-09-11,September,9,3,2022
20220912,2022-09-12,September,9,3,2022
20220913,2022-09-13,September,9,3,2022
20220914,2022-09-14,September,9,3,2022
20220915,2022-09-15,September,9,3,2022
20220916,2022-09-16,September,9,3,2022
20220917,2022-09-17,September,9,3,2022
20220918,2022-09-18,September,9,3,2022
20220919,2022-09-19,September,9,3,2022
20220920,2022-09-20,September,9,3,2022
20220921,2022-09-21,September,9,3,2022
20220922,2022-09-22,September,9,3,2022
20220923,2022-09-23,September,9,3,2022
20220924,2022-09-24,September,9,3,2022
20220925,2022-09-25,September,9,3,2022
20220926,2022-09-26,September,9,3,2022
20220927,2022-09-27,September,9,3,2022
20220928,2022-09-28,September,9,3,2022
20220929,2022-09-29,September,9,3,2022
20220930,2022-09-30,September,9,3,2022
20221001,2022-10-01,October,10,4,2022
20221002,2022-10-02,October,10,4,2022
20221003,2022-10-03,October,10,4,2022
20221004,2022-10-04,October,10,4,2022
20221005,2022-10-05,October,10,4,2022
20221006,2022-10-06,October,10,4,2022
20221007,2022-10-07,October,10,4,2022
20221008,2022-10-08,October,10,4,2022
20221009,2022-10-09,October,10,4,2022
20221010,2022-10-10,October,10,4,2022
20221011,2022-10-11,October,10,4,2022
20221012,2022-10-12,October,10,4,2022
20221013,2022-10-13,October,10,4,2022
20221014,2022-10-14,October,10,4,2022
20221015,2022-10-15,October,10,4,2022
20221016,2022-10-16,October,10,4,2022
20221017,2022-10-17,October,10,4,2022
20221018,2022-10-18,October,10,4,2022
20221019,2022-10-19,October,10,4,2022
20221020,2022-10-20,October,10,4,2022
20221021,2022-10-21,October,10,4,2022
20221022,2022-10-22,October,10,4,2022
20221023,2022-10-23,October,10,4,2022
20221024,2022-10-24,October,10,4,2022
20221025,2022-10-25,October,10,4,2022
20221026,2022-10-26,October,10,4,2022
20221027,2022-10-27,October,10,4,2022
20221028,2022-10-28,October,10,4,2022
20221029,2022-10-29,October,10,4,2022
20221030,2022-10-30,October,10,4,2022
20221031,2022-10-31,October,10,4,2022
20221101,2022-11-01,November,11,4,2022
20221102,2022-11-02,November,11,4,2022
20221103,2022-11-03,November,11,4,2022
20221104,2022-11-04,November,11,4,2022
20221105,2022-11-05,November,11,4,2022
20221106,2022-11-06,November,11,4,2022
20221107,2022-11-07,November,11,4,2022
20221108,2022-11-08,November,11,4,2022
20221109,2022-11-09,November,11,4,2022
20221110,2022-11-10,November,11,4,2022
20221111,2022-11-11,November,11,4,2022
20221112,2022-11-12,November,11,4,2022
20221113,2022-11-13,November,11,4,2022
20221114,2022-11-14,November,11,4,2022
20221115,2022-11-15,November,11,4,2022
20221116,2022-11-16,November,11,4,2022
20221117,2022-11-17,November,11,4,2022
20221118,2022-11-18,November,11,4,2022
20221119,2022-11-19,November,11,4,2022
20221120,2022-11-20,November,11,4,2022
20221121,2022-11-21,November,11,4,2022
20221122,2022-11-22,November,11,4,2022
20221123,2022-11-23,November,11,4,2022
20221124,2022-11-24,November,11,4,2022
20221125,2022-11-25,November,11,4,2022
20221126,2022-11-26,November,11,4,2022
20221127,2022-11-27,November,11,4,2022
20221128,2022-11-28,November,11,4,2022
20221129,2022-11-29,November,11,4,2022
20221130,2022-11-30,November,11,4,2022
20221201,2022-12-01,December,12,4,2022
20221202,2022-12-02,December,12,4,2022
20221203,2022-12-03,December,12,4,2022
20221204,2022-12-04,December,12,4,2022
20221205,2022-12-05,December,12,4,2022
20221206,2022-12-06,December,12,4,2022
20221207,2022-12-07,December,12,4,2022
20221208,2022-12-08,December,12,4,2022
20221209,2022-12-09,December,12,4,2022
20221210,2022-12-10,December,12,4,2022
20221211,2022-12-11,December,12,4,2022
20221212,2022-12-12,December,12,4,2022
20221213,2022-12-13,December,12,4,2022
20221214,2022-12-14,December,12,4,2022
20221215,2022-12-15,December,12,4,2022
20221216,2022-12-16,December,12,4,2022
20221217,2022-12-17,December,12,4,2022
20221218,2022-12-18,December,12,4,2022
20221219,2022-12-19,December,12,4,2022
20221220,2022-12-20,December,12,4,2022
20221221,2022-12-21,December,12,4,2022
20221222,2022-12-22,December,12,4,2022
20221223,2022-12-23,December,12,4,2022
20221224,2022-12-24,December,12,4,2022
20221225,2022-12-25,December,12,4,2022
20221226,2022-12-26,December,12,4,2022
20221227,2022-12-27,December,12,4,2022
20221228,2022-12-28,December,12,4,2022
20221229,2022-12-29,December,12,4,2022
20221230,2022-12-30,December,12,4,2022
20221231,2022-12-31,December,12,4,2022
20230101,2023-01-01,January,1,1,2023
20230102,2023-01-02,January,1,1,2023
20230103,2023-01-03,January,1,1,2023
20230104,2023-01-04,January,1,1,2023
20230105,2023-01-05,January,1,1,2023
20230106,2023-01-06,January,1,1,2023
20230107,2023-01-07,January,1,1,2023
20230108,2023-01-08,January,1,1,2023
20230109,2023-01-09,January,1,1,2023
20230110,2023-01-10,January,1,1,2023
20230111,2023-01-11,January,1,1,2023
20230112,2023-01-12,January,1,1,2023
20230113,2023-01-13,January,1,1,2023
20230114,2023-01-14,January,1,1,2023
20230115,2023-01-15,January,1,1,2023
20230116,2023-01-16,January,1,1,2023
20230117,2023-01-17,January,1,1,2023
20230118,2023-01-18,January,1,1,2023
20230119,2023-01-19,January,1,1,2023
20230120,2023-01-20,January,1,1,2023
20230121,2023-01-21,January,1,1,2023
20230122,2023-01-22,January,1,1,2023
20230123,2023-01-23,January,1,1,2023
20230124,2023-01-24,January,1,1,2023
20230125,2023-01-25,January,1,1,2023
20230126,2023-01-26,January,1,1,2023
20230127,2023-01-27,January,1,1,2023
20230128,2023-01-28,January,1,1,2023
20230129,2023-01-29,January,1,1,2023
20230130,2023-01-30,January,1,1,2023
20230131,2023-01-31,January,1,1,2023
20230201,2023-02-01,February,2,1,2023
20230202,2023-02-02,February,2,1,2023
20230203,2023-02-03,February,2,1,2023
20230204,2023-02-04,February,2,1,2023
20230205,2023-02-05,February,2,1,2023
20230206,2023-02-06,February,2,1,2023
20230207,2023-02-07,February,2,1,2023
20230208,2023-02-08,February,2,1,2023
20230209,2023-02-09,February,2,1,2023
20230210,2023-02-10,February,2,1,2023
20230211,2023-02-11,February,2,1,2023
20230212,2023-02-12,February,2,1,2023
20230213,2023-02-13,February,2,1,2023
20230214,2023-02-14,February,2,1,2023
20230215,2023-02-15,February,2,1,2023
20230216,2023-02-16,February,2,1,2023
20230217,2023-02-17,February,2,1,2023
20230218,2023-02-18,February,2,1,2023
20230219,2023-02-19,February,2,1,2023
20230220,2023-02-20,February,2,1,2023
20230221,2023-02-21,February,2,1,2023
20230222,2023-02-22,February,2,1,2023
20230223,2023-02-23,February,2,1,2023
20230224,2023-02-24,February,2,1,2023
20230225,2023-02-25,February,2,1,2023
20230226,2023-02-26,February,2,1,2023
20230227,2023-02-27,February,2,1,2023
20230228,2023-02-28,February,2,1,2023
20230301,2023-03-01,March,3,1,2023
20230302,2023-03-02,March,3,1,2023
20230303,2023-03-03,March,3,1,2023
20230304,2023-03-04,March,3,1,2023
20230305,2023-03-05,March,3,1,2023
20230306,2023-03-06,March,3,1,2023
20230307,2023-03-07,March,3,1,2023
20230308,2023-03-08,March,3,1,2023
20230309,2023-03-09,March,3,1,2023
20230310,2023-03-10,March,3,1,2023
20230311,2023-03-11,March,3,1,2023
20230312,2023-03-12,March,3,1,2023
20230313,2023-03-13,March,3,1,2023
20230314,2023-03-14,March,3,1,2023
20230315,2023-03-15,March,3,1,2023
